Department ID,Title,Job Type,Area of Practice,Position,Salary,Hospital Name,City,State,URL,Description,Scraped At
R-165210,Neurologist,Full time,Specialty Care,Neurologist,"$120,000 to $300,000 (Yearly)",VCA Aurora Animal Hospital,Aurora,Illinois,https://www.vcacareers.com/global/en/job/R-165210/Neurologist,,"3/30/2026, 6:14:50 PM"
R-156408,Internist,Full time,Specialty Care,Internist,for this position is $250-$300k (Yearly),VCA PetCare East Veterinary Hospital,Santa Rosa,California,https://www.vcacareers.com/global/en/job/R-156408/Internist,,"3/30/2026, 6:14:50 PM"
R-121499,Neurologist,Full time,Specialty Care,Neurologist,Negotiable,VCA Veterinary Care Animal Hospital & Referral Center,Albuquerque,New Mexico,https://www.vcacareers.com/global/en/job/R-121499/Neurologist,,"3/30/2026, 6:14:50 PM"
R-124284,Criticalist,Full time,Specialty Care,Criticalist,Negotiable,VCA Palm Beach Veterinary Specialists,West Palm Beach,Florida,https://www.vcacareers.com/global/en/job/R-124284/Criticalist,,"3/30/2026, 6:14:50 PM"
R-127166,Veterinarian,Part time,Veterinarian,Veterinarian,Negotiable,Vcacare,Half Moon Bay,California,https://www.vcacareers.com/global/en/job/R-127166/Veterinarian,,"3/30/2026, 6:14:50 PM"
R-128905,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Silver Lake Animal Hospital,Everett,Washington,https://www.vcacareers.com/global/en/job/R-128905/Associate-Veterinarian,,"3/30/2026, 6:14:55 PM"
R-124990,Associate Veterinarian,Full time,General Practice Care,associate veterinarian at VCA Bristol,Negotiable,"VCA, The Future Of Veterinary Medicine Is In Our Hands",Bristol,Connecticut,https://www.vcacareers.com/global/en/job/R-124990/Associate-Veterinarian,,"3/30/2026, 6:14:55 PM"
R-173548,Internist,Full time,Specialty Care,Internist,"$185,000 to $250,000 (Yearly)",VCA Aurora Animal Hospital,Aurora,Illinois,https://www.vcacareers.com/global/en/job/R-173548/Internist,,"3/30/2026, 6:14:55 PM"
R-181593,Surgeon,Full time,Specialty Care,Surgeon,Negotiable,VCA Midwest Veterinary Referral & Emergency Center,Omaha,Nebraska,https://www.vcacareers.com/global/en/job/R-181593/Surgeon,,"3/30/2026, 6:14:55 PM"
R-158426,Criticalist,Full time,Specialty Care,Criticalist,"$120,000 to $300,000 (Yearly)",VCA Veterinary Specialists,Woodland Hills,California,https://www.vcacareers.com/global/en/job/R-158426/Criticalist,,"3/30/2026, 6:14:55 PM"
R-174551,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Elgin Family Pet Center,Elgin,Texas,https://www.vcacareers.com/global/en/job/R-174551/Associate-Veterinarian,,"3/30/2026, 6:14:55 PM"
R-181721,Radiologist,Full time,Specialty Care,Radiologist,Negotiable,VCA Great Lakes Veterinary Specialists,Warrensville Heights,Ohio,https://www.vcacareers.com/global/en/job/R-181721/Radiologist,,"3/30/2026, 6:15:00 PM"
R-164346,Internist,Full time,Specialty Care,Internist,for this position is $200-$300k (Yearly),VCA Animal Care Center,Rohnert Park,California,https://www.vcacareers.com/global/en/job/R-164346/Internist,,"3/30/2026, 6:15:00 PM"
R-184816,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Katy Trail Animal Hospital,Dallas,Texas,https://www.vcacareers.com/global/en/job/R-184816/Associate-Veterinarian,,"3/30/2026, 6:15:00 PM"
R-176012,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Animal Care Hospital,Plano,Texas,https://www.vcacareers.com/global/en/job/R-176012/Associate-Veterinarian,,"3/30/2026, 6:15:00 PM"
R-186673,Internist,Full time,Specialty Care,Internist,Negotiable,VCA Great Lakes Veterinary Specialists,Warrensville Heights,Ohio,https://www.vcacareers.com/global/en/job/R-186673/Internist,,"3/30/2026, 6:15:00 PM"
R-186681,Internist,Full time,Specialty Care,Internist,"$150,000 to $300,000 (Yearly)",VCA Veterinary Referral & Emergency Center,Westbury,New York,https://www.vcacareers.com/global/en/job/R-186681/Internist,,"3/30/2026, 6:15:00 PM"
R-186685,Oncologist,Full time,Veterinary Specialist,Medical,"$150,000 to $300,000 (Yearly)",VCA Veterinary Referral & Emergency Center,Westbury,New York,https://www.vcacareers.com/global/en/job/R-186685/Oncologist,,"3/30/2026, 6:15:00 PM"
R-144741,"Specialty Medical Director - Criticalist, Internist, Surgeon - Open to All Specialties (Open)",Full time,Specialty Care,Specialty Medical Director,Negotiable,VCA Veterinary Specialty & Emergency Center,Kalamazoo,Michigan,https://www.vcacareers.com/global/en/job/R-144741/Specialty-Medical-Director-Criticalist-Internist-Surgeon-Open-to-All-Specialties-Open,,"3/30/2026, 6:15:00 PM"
R-183005,Internist,Full time,Specialty Care,Internist,"$250,000 to $350,000 (Yearly)",Katonah Bedford Veterinary Center,Bedford Hills,New York,https://www.vcacareers.com/global/en/job/R-183005/Internist,,"3/30/2026, 6:15:06 PM"
R-184437,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Cromwell Animal Hospital,Cromwell,Connecticut,https://www.vcacareers.com/global/en/job/R-184437/Associate-Veterinarian,,"3/30/2026, 6:15:06 PM"
R-185523,Avian/Exotics or Zoo Med Specialist,Full time,Specialty Care,"board certified, residency trained or experienced Zoological Medicine or Avian/Exotic Veterinarian","$150,000 to $250,000 (Yearly)",VCA Old Marple Animal Hospital,Springfield,Pennsylvania,https://www.vcacareers.com/global/en/job/R-185523/Avian-Exotics-or-Zoo-Med-Specialist,,"3/30/2026, 6:15:06 PM"
R-187471,Oncologist,Full time,Specialty Care,Medical,for this position is $200-$300k (Yearly),VCA Colonial Animal Hospital,Ithaca,New York,https://www.vcacareers.com/global/en/job/R-187471/Oncologist,,"3/30/2026, 6:15:06 PM"
R-187472,Internist,Full time,Specialty Care,Internist,for this position is $200-$300k (Yearly),VCA Veterinary Specialists,West Hartford,Connecticut,https://www.vcacareers.com/global/en/job/R-187472/Internist,,"3/30/2026, 6:15:06 PM"
R-186590,Oncologist,Full time,Specialty Care,Medical,Negotiable,VCA Palm Beach Veterinary Specialists,West Palm Beach,Florida,https://www.vcacareers.com/global/en/job/R-186590/Oncologist,,"3/30/2026, 6:15:06 PM"
R-186747,Cardiologist,Full time,Specialty Care,Cardiologist,"$200,000 to $300,000 (Yearly)",VCA South Shore (Weymouth) Animal Hospital,South Weymouth,Massachusetts,https://www.vcacareers.com/global/en/job/R-186747/Cardiologist,,"3/30/2026, 6:15:06 PM"
R-186749,Cardiologist,Full time,Specialty Care,Cardiologist,"$120,000 to $300,000 (Yearly)",VCA Veterinary Referral & Emergency Center,Westbury,New York,https://www.vcacareers.com/global/en/job/R-186749/Cardiologist,,"3/30/2026, 6:15:06 PM"
R-186756,Criticalist,Full time,Specialty Care,Criticalist,"$200,000 to $250,000 (Yearly)",VCA Colonial Animal Hospital,Ithaca,New York,https://www.vcacareers.com/global/en/job/R-186756/Criticalist,,"3/30/2026, 6:15:06 PM"
R-186754,Criticalist,Full time,Specialty Care,Criticalist,"$120,000 to $300,000 (Yearly)",VCA Veterinary Referral & Emergency Center,Westbury,New York,https://www.vcacareers.com/global/en/job/R-186754/Criticalist,,"3/30/2026, 6:15:06 PM"
R-186760,Criticalist,Full time,Specialty Care,Criticalist,Negotiable,VCA Veterinary Specialists,West Hartford,Connecticut,https://www.vcacareers.com/global/en/job/R-186760/Criticalist,,"3/30/2026, 6:15:11 PM"
R-186759,Criticalist,Full time,Specialty Care,Criticalist,Negotiable,VCA Great Lakes Veterinary Specialists,Warrensville Heights,Ohio,https://www.vcacareers.com/global/en/job/R-186759/Criticalist,,"3/30/2026, 6:15:11 PM"
R-194435,"Specialty Medical Director - Criticalist, Internist, Surgeon - Open to All Specialties",Full time,Specialty Care,Specialty Medical Director,for this position is $300-400k (Yearly),VCA Katonah Bedford Veterinary Center,Bedford Hills,New York,https://www.vcacareers.com/global/en/job/R-194435/Specialty-Medical-Director-Criticalist-Internist-Surgeon-Open-to-All-Specialties,,"3/30/2026, 6:15:11 PM"
R-189641,Internist,Full time,Specialty Care,Internist,for this position is $200-$300k (Yearly),VCA Colonial Animal Hospital,Ithaca,New York,https://www.vcacareers.com/global/en/job/R-189641/Internist,,"3/30/2026, 6:15:11 PM"
R-189901,Internist,Full time,Specialty Care,Internist,for this position is $250-$325k (Yearly),VCA Veterinary Specialists,Woodland Hills,California,https://www.vcacareers.com/global/en/job/R-189901/Internist,,"3/30/2026, 6:15:11 PM"
R-196206,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Village Park Animal Hospital,La Quinta,California,https://www.vcacareers.com/global/en/job/R-196206/Associate-Veterinarian,,"3/30/2026, 6:15:11 PM"
R-215208,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Kingwood Animal Hospital,Kingwood,Texas,https://www.vcacareers.com/global/en/job/R-215208/Medical-Director,,"3/30/2026, 6:15:11 PM"
R-219647,Anesthesiologist,Full time,Specialty Care,Anesthesiologist,"$220,000 to $240,000 (Yearly)",VCA South Shore (Weymouth) Animal Hospital,South Weymouth,Massachusetts,https://www.vcacareers.com/global/en/job/R-219647/Anesthesiologist,,"3/30/2026, 6:15:17 PM"
R-194436,"Specialty Medical Director - Criticalist, Internist, Surgeon - Open to All Specialties",Full time,Specialty Care,Specialty Medical Director,Negotiable,VCA Veterinary Referral & Emergency Center,Norwalk,Connecticut,https://www.vcacareers.com/global/en/job/R-194436/Specialty-Medical-Director-Criticalist-Internist-Surgeon-Open-to-All-Specialties,,"3/30/2026, 6:15:17 PM"
R-188014,Criticalist,Full time,Specialty Care,Criticalist,"$200,000 to $250,000 (Yearly)",VCA Katonah Bedford Veterinary Center,Bedford Hills,New York,https://www.vcacareers.com/global/en/job/R-188014/Criticalist,,"3/30/2026, 6:15:17 PM"
R-218471,"Emergency Veterinarian - West Los Angeles, CA",Full time,Emergency Care,Emergency Veterinarian at VCA West LA and you’ll quickly discover that you’re well supported by worl,"$80,000 to $180,000 (Yearly)","VCA, The Future Of Veterinary Medicine Is In Our Hands",Los Angeles,California,https://www.vcacareers.com/global/en/job/R-218471/Emergency-Veterinarian-West-Los-Angeles-CA,,"3/30/2026, 6:15:23 PM"
R-113659,Criticalist,Full time,Specialty Care,Criticalist,"$120,000 to $300,000 (Yearly)",VCA California Veterinary Specialists,Murrieta,California,https://www.vcacareers.com/global/en/job/R-113659/Criticalist,,"3/30/2026, 6:15:23 PM"
R-217848,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Mesa Animal Hospital,Mesa,Arizona,https://www.vcacareers.com/global/en/job/R-217848/Associate-Veterinarian,,"3/30/2026, 6:15:23 PM"
R-214435,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA North Plano Animal Hospital,Plano,Texas,https://www.vcacareers.com/global/en/job/R-214435/Associate-Veterinarian,,"3/30/2026, 6:15:23 PM"
R-210532,Per Diem Surgeon,Part time,Specialty Care,Per Diem Surgeon,"$225,000 - $275,000 (Yearly)",VCA Katonah Bedford Animal Hospital,Bedford Hills,New York,https://www.vcacareers.com/global/en/job/R-210532/Per-Diem-Surgeon,,"3/30/2026, 6:15:23 PM"
R-211921,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Alaska Pet Care Animal Hospital,Anchorage,Alaska,https://www.vcacareers.com/global/en/job/R-211921/Associate-Veterinarian,,"3/30/2026, 6:15:23 PM"
R-193665,"Emergency Veterinarian - Norwalk, CT",Full time,Emergency Care,experienced Emergency Veterinarian to work,N/A,Our 24-Hour Emergency,Norwalk,Connecticut,https://www.vcacareers.com/global/en/job/R-193665/Emergency-Veterinarian-Norwalk-CT,,"3/30/2026, 6:15:28 PM"
R-202648,Internist,Full time,Specialty Care,Internist,for this position is $200-$300k (Yearly),VCA Orange County Veterinary Specialists,Tustin,California,https://www.vcacareers.com/global/en/job/R-202648/Internist,,"3/30/2026, 6:15:28 PM"
R-213127,Urgent Care Veterinarian,Full time,Urgent Care,Urgent Veterinarian,"$140,000 to $180,000 (Yearly)",VCA Central Animal Hospital,Upland,California,https://www.vcacareers.com/global/en/job/R-213127/Urgent-Care-Veterinarian,,"3/30/2026, 6:15:28 PM"
R-196205,Emergency Veterinarian,Full time,Emergency Care,Emergency Veterinarian,"$80,000 to $225,000 (Yearly)",VCA Orange County Veterinary Specialists,Tustin,California,https://www.vcacareers.com/global/en/job/R-196205/Emergency-Veterinarian,,"3/30/2026, 6:15:28 PM"
R-203844,Oncologist,Full time,Specialty Care,the second board certified or residency trained,Negotiable,VCA MidWest Veterinary Referral & Emergency Center,Omaha,Nebraska,https://www.vcacareers.com/global/en/job/R-203844/Oncologist,,"3/30/2026, 6:15:28 PM"
R-218462,Associate Veterinarian,Part time,Veterinarian,Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Lakewood Animal Hospital,Cerritos,California,https://www.vcacareers.com/global/en/job/R-218462/Associate-Veterinarian,,"3/30/2026, 6:15:28 PM"
R-211334,Internist,Full time,Specialty Care,Internal Medicine Specialist,for this position is $200-$300k (Yearly),VCA California Veterinary Specialists,Ontario,California,https://www.vcacareers.com/global/en/job/R-211334/Internist,,"3/30/2026, 6:15:28 PM"
R-198408,Internist,Full time,Specialty Care,Internist,Negotiable,VCA Shoreline Veterinary Referral And Emergency Center,Shelton,Connecticut,https://www.vcacareers.com/global/en/job/R-198408/Internist,,"3/30/2026, 6:15:32 PM"
R-196726,Veterinary Dentist,Full time,Specialty Care,Veterinary Dentist,Negotiable,VCA Great Lakes Veterinary Specialists,Warrensville Heights,Ohio,https://www.vcacareers.com/global/en/job/R-196726/Veterinary-Dentist,,"3/30/2026, 6:15:33 PM"
R-209173,Medical Director,Full time,General Practice Care,Medical Director at VCA Twin Rivers,for this position is $160K - $180K (Yearly),"VCA, The Future Of Veterinary Medicine Is In Our Hands",East Windsor,New Jersey,https://www.vcacareers.com/global/en/job/R-209173/Medical-Director,,"3/30/2026, 6:15:33 PM"
R-200814,Medical Director,Full time,General Practice Care,Medical Director,"$160,000 to $180,000 (Yearly)",VCA Newark Animal Hospital,Newark,Delaware,https://www.vcacareers.com/global/en/job/R-200814/Medical-Director,,"3/30/2026, 6:15:33 PM"
R-218978,Associate Veterinarian,Full time,Urgent Care,Primary and Urgent Care Veterinarian,Negotiable,VCA Southeast Portland Animal Hospital,Portland,Oregon,https://www.vcacareers.com/global/en/job/R-218978/Associate-Veterinarian,,"3/30/2026, 6:15:33 PM"
R-220722,Part Time Urgent Care Veterinarian,Full time,Urgent Care,Part Time Urgent Care Veterinarian,N/A,VCA Family,Salt Lake City,Utah,https://www.vcacareers.com/global/en/job/R-220722/Part-Time-Urgent-Care-Veterinarian,,"3/30/2026, 6:15:33 PM"
R-213862,"Specialty Medical Director - Internist, Criticalist, Surgeon - Open to All Specialties",Full time,Specialty Care,Specialty Medical Director,Negotiable,VCA Veterinary Specialists,West Hartford,Connecticut,https://www.vcacareers.com/global/en/job/R-213862/Specialty-Medical-Director-Internist-Criticalist-Surgeon-Open-to-All-Specialties,,"3/30/2026, 6:15:38 PM"
R-200224,Internist,Full time,Specialty Care,Internist,Negotiable,VCA Veterinary Specialty & Emergency Center,Kalamazoo,Michigan,https://www.vcacareers.com/global/en/job/R-200224/Internist,,"3/30/2026, 6:15:38 PM"
R-200472,Associate Veterinarian,Part time,General Practice Care,Associate Veterinarian,Negotiable,VCA University Veterinary Clinic,Fairfax,Virginia,https://www.vcacareers.com/global/en/job/R-200472/Associate-Veterinarian,,"3/30/2026, 6:15:38 PM"
R-198132,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Mountain View Animal Hospital,Sandy,Utah,https://www.vcacareers.com/global/en/job/R-198132/Associate-Veterinarian,,"3/30/2026, 6:15:38 PM"
R-190386,Director of Emergency and Critical Care,Part time,Specialty Care,Director of Emergency and Critical Care (DECC),Negotiable,VCA Advanced Veterinary Care Center,Fishers,Indiana,https://www.vcacareers.com/global/en/job/R-190386/Director-of-Emergency-and-Critical-Care,,"3/30/2026, 6:15:38 PM"
R-218460,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Sandy Lake Animal Hospital,Coppell,Texas,https://www.vcacareers.com/global/en/job/R-218460/Associate-Veterinarian,,"3/30/2026, 6:15:38 PM"
R-202328,Medical Director,Full time,General Practice Care,Medical Director,N/A,VCA Del Lago Animal Hospital,Scottsdale,Arizona,https://www.vcacareers.com/global/en/job/R-202328/Medical-Director,,"3/30/2026, 6:15:38 PM"
R-222165,Medical Director,Full time,General Practice Care,Medical Director at VCA Blackstone Valley and you’ll quickly discover that you’re well supported by,is $130k-$150k (Yearly),"VCA, The Future Of Veterinary Medicine Is In Our Hands",Uxbridge,Massachusetts,https://www.vcacareers.com/global/en/job/R-222165/Medical-Director,,"3/30/2026, 6:15:43 PM"
R-222167,Medical Director,Full time,General Practice Care,Medical Director,is $135k-$150k (Yearly),VCA South Hadley Animal Hospital,South Hadley,Massachusetts,https://www.vcacareers.com/global/en/job/R-222167/Medical-Director,,"3/30/2026, 6:15:43 PM"
R-219280,Medical Director,Full time,General Practice Care,"Medical Director, and you’ll quickly discover that you’re well supported by world-class medicine, te",Negotiable,"VCA, The Future Of Veterinary Medicine Is In Our Hands",Charlotte,North Carolina,https://www.vcacareers.com/global/en/job/R-219280/Medical-Director,,"3/30/2026, 6:15:43 PM"
R-218577,Medical Director,Full time,General Practice Care,Medical Director,Negotiable,VCA Edgewood Animal Hospital,Cedar Rapids,Iowa,https://www.vcacareers.com/global/en/job/R-218577/Medical-Director,,"3/30/2026, 6:15:43 PM"
R-222163,Medical Director,Full time,General Practice Care,Medical Director,is $125k-$145k (Yearly),VCA Adams Animal Hospital,Athol,Massachusetts,https://www.vcacareers.com/global/en/job/R-222163/Medical-Director,,"3/30/2026, 6:15:44 PM"
R-219392,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Brickell Animal Hospital,Miami,Florida,https://www.vcacareers.com/global/en/job/R-219392/Associate-Veterinarian,,"3/30/2026, 6:15:44 PM"
R-212418,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Palmetto Animal Hospital,Myrtle Beach,South Carolina,https://www.vcacareers.com/global/en/job/R-212418/Associate-Veterinarian,,"3/30/2026, 6:15:44 PM"
R-221346,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Deltona Boulevard Animal Hospital,Deltona,Florida,https://www.vcacareers.com/global/en/job/R-221346/Associate-Veterinarian,,"3/30/2026, 6:15:49 PM"
R-195032,Associate Veterinarian,Full time,General Practice Care,"Associate Veterinarian, and you’ll quickly discover that you’re well supported by world-class medici",Negotiable,"VCA, The Future Of Veterinary Medicine Is In Our Hands",Vero Beach,Florida,https://www.vcacareers.com/global/en/job/R-195032/Associate-Veterinarian,,"3/30/2026, 6:15:49 PM"
R-187413,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA San Francis Animal Hospital,Spring Hill,Florida,https://www.vcacareers.com/global/en/job/R-187413/Associate-Veterinarian,,"3/30/2026, 6:15:49 PM"
R-204938,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Whispering Pines Animal Hospital,Carthage,North Carolina,https://www.vcacareers.com/global/en/job/R-204938/Associate-Veterinarian,,"3/30/2026, 6:15:49 PM"
R-219929,"Associate Veterinarian-Fort Myers, FL",Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Coral Animal Hospital,Fort Myers,Florida,https://www.vcacareers.com/global/en/job/R-219929/Associate-Veterinarian-Fort-Myers-FL,,"3/30/2026, 6:15:49 PM"
R-223637,Associate Veterinarian,Full time,Veterinarian,Veterinarian,"$80,000 to $180,000 (Yearly)",VCA Santa Margarita Animal Hospital,Rancho Santa Margarita,California,https://www.vcacareers.com/global/en/job/R-223637/Associate-Veterinarian,,"3/30/2026, 6:15:49 PM"
R-216083,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,Negotiable,VCA Seaside Animal Hospital,Calabash,North Carolina,https://www.vcacareers.com/global/en/job/R-216083/Associate-Veterinarian,,"3/30/2026, 6:15:49 PM"
R-186485,Internist,Full time,Specialty Care,Internist,"$150,000 to $300,000 (Yearly)",VCA Advanced Veterinary Care Center,Lawndale,California,https://www.vcacareers.com/global/en/job/R-186485/Internist,,"3/30/2026, 6:15:49 PM"
R-224317,Associate Veterinarian,Full time,Veterinarian,Veterinarian at VCA Arden and you’ll quickly discover that you’re well supported by world-class medi,"salary for this position is $150,000 (Yearly)","VCA, The Future Of Veterinary Medicine Is In Our Hands",Glendale,California,https://www.vcacareers.com/global/en/job/R-224317/Associate-Veterinarian,,"3/30/2026, 6:15:54 PM"
R-224499,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,"$80,000 to $180,000 (Yearly)",VCA TLC West Hollywood Animal Hospital,West Hollywood,California,https://www.vcacareers.com/global/en/job/R-224499/Associate-Veterinarian,,"3/30/2026, 6:15:54 PM"
R-194988,Emergency Veterinarian - Per Diem,Part time,Veterinarian,experienced  Emergency Veterinarian to be part of our per diem veterinarian team,N/A,VCA Animal Care Center,Rohnert Park,California,https://www.vcacareers.com/global/en/job/R-194988/Emergency-Veterinarian-Per-Diem,,"3/30/2026, 6:15:54 PM"
